Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
21136,极元私募优选2期,组合策略,查看,极元金融,查看,3.04%,查看,1.2139,21.39%,查看,查看,查看,,,
21137,顺越1号,债券策略,查看,顺越双生,查看,6.50%,查看,1.0818,8.18%,查看,查看,查看,,,
21138,中信信泽财富11号,债券策略,查看,中信证券,查看,0.06%,查看,1.0202,5.05%,查看,查看,查看,,,
21139,上海心安增利,债券策略,查看,上海证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21140,淘利趋势套利2号,管理期货,查看,淘利资产,查看,1.65%,查看,1.2359,23.59%,查看,查看,查看,,,
21141,广发恒定5号优先级,股票策略,查看,广发证券,查看,355.25%,查看,4.8561,385.61%,查看,查看,查看,,,
21142,东兴金选精质1号次级,债券策略,查看,东兴证券,查看,55.48%,查看,1.4290,51.70%,查看,查看,查看,,,
21143,财通聚富2号A5,债券策略,查看,财通证券,查看,0.91%,查看,1.0104,12.21%,查看,查看,查看,,,
21144,创金聚富1期A,债券策略,查看,第一创业证券,查看,0.20%,查看,1.0080,4.60%,查看,查看,查看,,,
21145,财通双季赢2号A1,债券策略,查看,财通证券,查看,0.00%,查看,1.0000,19.72%,查看,查看,查看,,,
21146,东吴汇信12号,组合策略,查看,东吴证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21147,海通汇智1号风险级,组合策略,查看,海通证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21148,恒泰创富37号,多策略,查看,恒泰证券,查看,-14.58%,查看,1.0005,0.05%,查看,查看,查看,,,
21149,安信长泰定增B,定向增发,查看,安信证券,查看,0.00%,查看,1.0000,0.00%,查看,查看,查看,,,
21150,宁波首泰立信投资合伙企业（有限合伙）,非策略类,查看,首泰金信投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21151,锐越财富6号基金,股票策略,查看,锐越,查看,-18.58%,查看,0.8142,-18.58%,查看,查看,查看,,,
21152,融资宝A类第116期,股票策略,查看,五矿证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21153,紫微星1号,股票策略,查看,天力拓投资,查看,1.25%,查看,0.8100,-19.00%,查看,查看,查看,,,
21154,灵通尊利1号23期,债券策略,查看,申万宏源证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21155,灵通尊利1号24期,债券策略,查看,申万宏源证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21156,旗峰安盈1号,股票策略,查看,东莞证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21157,摩旗多因子基金,其他,查看,摩旗投资,查看,-5.69%,查看,1.3430,43.70%,查看,查看,查看,,,
21158,常春藤12期财富2期,股票策略,查看,常春藤资产,查看,--,查看,1.5561,55.61%,查看,查看,查看,,,
21159,钜洲资产智富企业发展基金八期,其他,查看,钜洲资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21160,海通信通2号,股票策略,查看,海通证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21161,近山量化定增套利一期,股票策略,查看,近山投资,查看,-4.21%,查看,0.9110,-8.90%,查看,查看,查看,,,
21162,中信建投融通财富2号A第12期,债券策略,查看,中信建投证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21163,新财富2号,股票策略,查看,新财富,查看,--,查看,2.2380,229.50%,查看,查看,查看,,,
21164,鑫融1号第22期,股票策略,查看,上海聚千,查看,--,查看,1.0083,0.83%,查看,查看,查看,,,
21165,元葵天时策略,管理期货,查看,元葵资产,查看,42.31%,查看,25.1296,2412.96%,查看,查看,查看,,,
21166,华福清水源33号,股票策略,查看,清水源投资,查看,--,查看,1.0880,8.80%,查看,查看,查看,,,
21167,蕴空1期,管理期货,查看,蕴空投资,查看,-40.90%,查看,1.5768,57.68%,查看,查看,查看,,,
21168,国投华铁2号,管理期货,查看,国投华铁,查看,-0.00%,查看,3.5476,254.76%,查看,查看,查看,,,
21169,长盛中银同心灵活,股票策略,查看,长盛基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
