Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
43661,华龙金投智汇,定向增发,查看,华龙证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43662,华泰远见2号,股票策略,查看,华泰资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43663,橘颂溢盛3号,股票策略,查看,橘颂资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43664,前海国购蓝海12号,股票策略,查看,国购股投,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43665,信朴11号,股票策略,查看,信朴量思,查看,--,查看,1.0250,2.50%,查看,查看,查看,,,
43666,睿郡可交债20号,股票策略,查看,睿郡资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43667,兴证兴鑫鸿凯2号,管理期货,查看,兴证期货,查看,--,查看,0.8361,-16.39%,查看,查看,查看,,,
43668,九逸赤电量化5号,股票策略,查看,九逸资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43669,韵之资本元宝财富,股票策略,查看,韵之资本,查看,--,查看,1.0510,5.10%,查看,查看,查看,,,
43670,恒毅CTA一期,管理期货,查看,明睿资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43671,丰岭稳健成长7期之A期,股票策略,查看,丰岭资本,查看,--,查看,1.1170,11.70%,查看,查看,查看,,,
43672,知方石份额宝1号,股票策略,查看,知方石,查看,--,查看,0.9910,4.60%,查看,查看,查看,,,
43673,拓璞明日之星,股票策略,查看,拓璞投资,查看,--,查看,1.1551,15.51%,查看,查看,查看,,,
43674,广金期货-行和2号,股票策略,查看,行和基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43675,国投中财投资长盈六号,股票策略,查看,国投中财,查看,--,查看,1.0644,6.44%,查看,查看,查看,,,
43676,中江融新新价值一期,股票策略,查看,中江融新,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43677,弈祖真欣二号,股票策略,查看,弈祖投资,查看,--,查看,0.9944,-0.56%,查看,查看,查看,,,
43678,玖歌荣辉11号,股票策略,查看,玖歌投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43679,上海马洲万象1号,股票策略,查看,马洲股权投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
